Run   obj.function   KGE           _k_soil_      _theta_sat_   _aquiferBaseflowExp_  _aquiferBaseflowRate_  _qSurfScale_  _summerLAI_   _frozenPrecipMultip_  _heightCanopyBottom_  _heightCanopyTop_  _Fcapil_      _tempCritRain_  _windReductionParam_  _vGn_n_       _k_macropore_  _theta_mp_    _routingGammaShape_  _routingGammaScale_  _zScale_TOPMODEL_  
1     5.699613E+00  -5.699613E+00  8.074009E-06  5.017892E-01  4.717243E+00  3.768655E-02  4.001619E+01  8.424154E+00  9.575204E-01  2.923498E+00  4.344255E+01  7.228003E-02  2.723256E+02  6.553492E-01  2.113678E+00  5.379546E-02  3.156585E-01  2.550860E+00  1.347053E+05  1.012692E+01  
2     1.121756E+01  -1.121756E+01  1.266941E-05  4.819185E-01  7.384143E+00  7.821069E-02  8.982373E+01  5.889787E+00  1.457645E+00  2.550732E+00  4.171090E+01  2.669403E-02  2.739792E+02  9.471573E-01  2.417737E+00  5.415121E-02  5.786218E-01  2.677367E+00  1.688883E+05  7.981040E+01  
3     6.131126E+00  -6.131126E+00  1.191827E-05  3.340250E-01  5.433169E+00  3.513713E-02  9.341761E+01  9.241589E-01  1.042927E+00  4.208920E+00  4.331445E+00  2.891719E-02  2.739899E+02  7.284794E-01  2.603589E+00  2.452021E-02  3.721398E-01  2.701354E+00  3.217329E+05  2.639134E+00  
4     3.872621E+00  -3.872621E+00  9.030412E-06  5.112581E-01  2.615795E+00  9.633907E-02  1.807232E+01  6.037503E+00  1.371983E+00  3.358692E+00  8.652895E+00  2.178179E-02  2.739623E+02  9.990073E-02  2.251172E+00  9.275076E-02  5.875739E-01  2.559879E+00  3.743032E+05  1.156932E+01  
5     6.530002E+00  -6.530002E+00  6.857513E-06  5.323306E-01  4.165222E+00  2.704989E-02  4.331818E+01  9.800156E+00  1.214773E+00  1.063894E+00  3.530780E+01  2.421051E-02  2.737908E+02  5.375620E-01  2.933046E+00  9.197042E-02  4.879863E-01  2.214354E+00  2.631789E+05  2.184828E+01  
6     7.678139E+00  -7.678139E+00  7.524269E-06  5.375452E-01  6.259268E+00  9.791582E-02  5.337727E+01  8.288929E+00  1.325789E+00  2.031205E+00  4.631642E+01  2.570266E-02  2.722785E+02  1.564821E-02  2.418643E+00  8.644760E-02  5.449186E-01  2.653065E+00  2.535539E+05  9.101841E+01  
7     2.215378E+00  -2.215378E+00  1.082670E-05  5.357872E-01  2.228481E+00  9.309436E-02  2.671933E+01  2.065992E+00  1.082182E+00  7.735582E-01  5.096817E+00  9.866400E-02  2.741099E+02  2.015552E-01  1.810669E+00  2.081461E-03  5.159234E-01  2.159032E+00  3.282910E+05  1.115344E+01  
8     9.415790E-01  -9.415790E-01  3.332713E-06  4.733469E-01  8.092382E+00  7.616503E-02  5.899379E+01  1.898109E+00  8.951917E-01  1.449496E+00  4.178835E+01  2.075084E-02  2.734925E+02  6.123383E-01  1.610005E+00  9.671752E-02  5.492239E-01  2.000261E+00  1.980941E+05  5.433181E+00  
9     4.196518E+00  -4.196518E+00  2.690637E-06  5.112581E-01  8.508862E+00  2.021739E-02  9.681109E+01  6.037503E+00  1.371983E+00  3.358692E+00  1.245188E+01  2.178179E-02  2.739623E+02  9.990073E-02  2.270056E+00  1.012391E-02  5.875739E-01  2.825824E+00  3.743032E+05  1.156932E+01  
10    1.792461E+00  -1.792461E+00  3.332713E-06  4.733469E-01  8.236970E+00  7.616503E-02  9.081276E+01  1.898109E+00  9.902505E-01  1.449496E+00  3.183105E+00  9.683852E-02  2.725880E+02  8.533988E-01  1.799318E+00  9.671752E-02  5.492239E-01  2.000261E+00  1.980941E+05  5.433181E+00  
11    3.653993E+00  -3.653993E+00  9.030412E-06  5.112581E-01  8.508862E+00  2.021739E-02  9.681109E+01  5.800040E+00  7.567861E-01  3.358692E+00  3.065840E+01  1.324188E-02  2.739623E+02  1.421129E-01  2.270056E+00  9.773184E-02  5.875739E-01  2.873000E+00  1.100720E+05  1.135604E+01  
12    5.901950E-01  -5.901950E-01  1.231005E-05  4.055887E-01  4.292785E+00  6.224567E-02  6.470407E+01  2.267920E+00  9.306808E-01  6.841084E-01  4.719704E+01  9.223998E-02  2.730789E+02  2.115069E-01  1.184864E+00  5.980237E-02  3.645448E-01  2.304008E+00  3.724863E+05  8.486890E+00  
13    3.341440E+00  -3.341440E+00  3.096250E-06  5.183340E-01  3.287813E+00  8.832863E-02  4.076192E+01  5.723177E+00  8.474038E-01  4.622212E+00  2.857803E+01  8.575681E-02  2.721652E+02  7.169205E-01  2.114544E+00  9.151551E-02  5.793590E-01  2.026444E+00  3.523547E+05  4.725847E+00  
14    -1.830840E-01  1.830840E-01  1.231005E-05  4.574573E-01  4.292785E+00  8.328272E-03  4.380832E+01  2.267920E+00  9.787326E-01  6.841084E-01  4.719704E+01  8.072689E-02  2.722767E+02  2.115069E-01  1.256020E+00  5.980237E-02  3.645448E-01  2.084166E+00  2.028373E+05  8.496974E+00  
15    -5.875600E-02  5.875600E-02  3.332713E-06  5.899247E-01  8.157505E+00  8.208386E-02  5.670045E+01  8.673616E+00  8.951917E-01  4.731438E+00  2.737393E+01  7.403274E-02  2.729209E+02  5.057367E-01  1.535329E+00  8.647969E-02  5.891238E-01  2.426623E+00  3.388625E+05  5.433181E+00  
16    -2.008490E-01  2.008490E-01  1.251465E-05  4.574573E-01  4.292785E+00  8.328272E-03  4.380832E+01  2.267920E+00  9.787326E-01  6.841084E-01  4.719704E+01  8.072689E-02  2.730789E+02  2.115069E-01  1.256020E+00  3.453232E-02  3.645448E-01  2.084166E+00  2.028373E+05  8.486890E+00  
17    9.745314E+00  -9.745314E+00  3.332713E-06  5.899247E-01  8.092382E+00  8.208386E-02  5.670045E+01  7.072590E+00  8.951917E-01  5.866418E-01  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.535329E+00  7.720807E-02  5.891238E-01  2.156470E+00  1.104468E+05  9.749585E+01  
18    -3.821840E-01  3.821840E-01  3.332713E-06  5.899247E-01  8.092382E+00  1.399124E-03  5.670045E+01  8.673616E+00  8.951917E-01  5.866418E-01  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.535329E+00  7.720807E-02  5.818024E-01  2.091544E+00  1.104468E+05  5.433181E+00  
19    3.158430E-01  -3.158430E-01  7.668739E-06  5.899247E-01  7.391484E+00  8.208386E-02  5.670045E+01  8.673616E+00  8.951917E-01  5.866418E-01  2.731596E+01  1.976956E-02  2.729209E+02  3.932878E-01  1.535329E+00  8.157678E-02  4.675939E-01  2.298636E+00  1.104468E+05  5.433181E+00  
20    -1.973100E-01  1.973100E-01  3.332713E-06  4.822776E-01  3.297252E+00  8.208386E-02  5.670045E+01  7.072590E+00  8.951917E-01  8.811327E-01  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.394198E+00  7.720807E-02  5.891238E-01  2.156470E+00  1.104468E+05  5.433181E+00  
21    -3.743520E-01  3.743520E-01  3.332713E-06  5.994569E-01  8.092382E+00  9.976625E-04  5.670045E+01  8.673616E+00  1.122995E+00  5.866418E-01  2.740507E+01  5.949328E-02  2.729209E+02  3.932878E-01  1.535329E+00  7.720807E-02  4.675939E-01  2.091544E+00  1.104468E+05  5.433181E+00  
22    -4.313270E-01  4.313270E-01  3.332713E-06  5.899247E-01  1.508839E+00  4.347172E-02  9.308374E+01  7.072590E+00  8.951917E-01  2.261767E+00  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.218821E+00  1.104468E+05  5.433181E+00  
23    -4.049560E-01  4.049560E-01  3.332713E-06  5.899247E-01  8.092382E+00  5.633267E-02  5.670045E+01  7.072590E+00  9.064426E-01  2.261767E+00  2.386822E+01  2.270423E-02  2.729209E+02  3.932878E-01  1.394198E+00  7.720807E-02  5.576637E-01  2.156470E+00  1.104468E+05  5.433181E+00  
24    -4.091120E-01  4.091120E-01  3.332713E-06  5.744616E-01  8.092382E+00  2.412976E-02  5.670045E+01  6.414767E-01  1.010181E+00  2.082806E+00  2.737393E+01  7.403274E-02  2.734896E+02  3.932878E-01  1.394198E+00  7.720807E-02  4.256378E-01  2.156470E+00  1.104468E+05  5.374921E+00  
25    -2.373770E-01  2.373770E-01  2.493022E-06  5.899247E-01  8.092382E+00  8.208386E-02  5.670045E+01  8.673616E+00  6.597252E-01  5.866418E-01  2.737393E+01  7.403274E-02  2.729836E+02  3.932878E-01  1.542267E+00  1.504898E-02  5.891238E-01  2.179269E+00  9.536440E+04  5.433181E+00  
26    -4.468230E-01  4.468230E-01  3.332713E-06  5.899247E-01  1.508839E+00  4.424838E-02  1.894593E+01  7.072590E+00  8.951917E-01  3.190727E+00  2.737393E+01  7.403274E-02  2.741583E+02  3.932878E-01  1.242259E+00  3.503729E-02  5.891238E-01  2.096142E+00  1.104468E+05  5.433181E+00  
27    -4.055890E-01  4.055890E-01  3.332713E-06  5.899247E-01  1.508839E+00  8.135398E-02  5.670045E+01  7.041577E+00  1.291798E+00  2.261767E+00  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.937031E-01  2.401817E+00  1.104468E+05  5.433181E+00  
28    -1.850300E-01  1.850300E-01  2.624768E-06  5.899247E-01  3.232086E+00  4.424838E-02  5.673510E+01  7.072590E+00  8.830005E-01  2.243998E+00  2.737393E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.735136E+00  1.985968E-02  4.670910E-01  2.008245E+00  1.136468E+05  5.433181E+00  
29    -4.585250E-01  4.585250E-01  3.332713E-06  5.902190E-01  1.751500E+00  4.424838E-02  4.855464E+01  7.072590E+00  8.951917E-01  2.243998E+00  2.726372E+01  7.403274E-02  2.733325E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  1.104469E+05  5.433181E+00  
30    -4.865940E-01  4.865940E-01  3.332713E-06  5.899247E-01  3.099911E+00  4.424838E-02  5.257771E+01  7.072590E+00  1.238459E+00  2.243998E+00  2.726372E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  8.858229E+04  5.433181E+00  
31    -4.534420E-01  4.534420E-01  3.332713E-06  5.749073E-01  1.545955E+00  4.424838E-02  4.855464E+01  7.072590E+00  8.951917E-01  2.243998E+00  1.965819E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.242259E+00  4.297800E-03  5.190883E-01  2.008245E+00  1.104469E+05  5.433181E+00  
32    -4.684840E-01  4.684840E-01  3.332713E-06  5.899247E-01  3.099911E+00  4.424838E-02  5.257771E+01  7.072590E+00  6.387434E-01  2.243998E+00  4.867476E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  8.858229E+04  5.433181E+00  
33    -4.834210E-01  4.834210E-01  3.332713E-06  5.899247E-01  1.682823E+00  4.424838E-02  5.670045E+01  2.968900E+00  8.951917E-01  2.243998E+00  2.737393E+01  1.100749E-02  2.739560E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.115810E+00  8.680977E+04  5.433181E+00  
34    -4.891930E-01  4.891930E-01  3.332713E-06  5.899247E-01  3.099911E+00  2.249443E-02  5.257771E+01  7.072590E+00  8.951917E-01  3.009383E+00  2.729209E+01  7.403274E-02  2.729209E+02  3.101812E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  8.858229E+04  5.331429E+00  
35    -4.948330E-01  4.948330E-01  3.332713E-06  5.899247E-01  3.099911E+00  4.424838E-02  5.257771E+01  5.478452E+00  7.285079E-01  2.037597E+00  1.774448E+01  6.013206E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  8.858229E+04  5.433181E+00  
36    -4.312290E-01  4.312290E-01  3.332713E-06  5.899247E-01  3.099911E+00  3.237447E-02  5.257771E+01  7.072590E+00  8.951917E-01  2.243998E+00  1.774448E+01  7.403274E-02  2.729209E+02  3.932878E-01  1.277420E+00  7.720807E-02  3.175768E-01  2.676282E+00  8.769681E+04  5.690138E+00  
37    -4.746720E-01  4.746720E-01  3.332713E-06  5.899247E-01  3.099911E+00  4.424838E-02  8.177506E+00  5.478452E+00  7.285079E-01  2.037597E+00  1.774448E+01  6.163101E-02  2.729209E+02  3.932878E-01  1.242259E+00  7.720807E-02  5.891238E-01  2.008245E+00  8.858229E+04  5.433181E+00  
