Run   obj.function   KGE           _k_soil_      _theta_sat_   _aquiferBaseflowExp_  _aquiferBaseflowRate_  _qSurfScale_  _summerLAI_   _frozenPrecipMultip_  _heightCanopyBottom_  _heightCanopyTop_  _Fcapil_      _tempCritRain_  _windReductionParam_  _vGn_n_       _routingGammaShape_  _routingGammaScale_  _zScale_TOPMODEL_  
1     1.018024E+01  -1.018024E+01  1.304203E-05  3.960130E-01  4.472859E+00  9.108670E-02  4.470389E+01  8.556847E+00  8.913363E-01  4.685911E+00  7.843818E+00  1.403047E-02  2.732797E+02  6.585451E-01  2.189501E+00  2.216366E+00  3.626902E+05  6.394215E+01  
2     9.630768E+00  -9.630768E+00  6.967266E-06  4.746958E-01  5.344788E+00  7.700690E-02  9.168059E+01  2.280885E+00  9.696671E-01  2.402347E+00  2.493772E+01  3.666223E-02  2.734669E+02  6.226870E-01  1.235666E+00  2.549968E+00  2.309061E+05  2.302577E+01  
3     3.290095E+00  -3.290095E+00  2.739470E-06  3.950064E-01  9.058320E+00  4.823561E-02  1.829425E+01  5.532793E+00  1.166312E+00  3.976396E+00  3.177550E+01  7.010332E-02  2.739525E+02  5.575366E-02  2.658509E+00  2.648905E+00  3.967681E+05  4.298904E+00  
4     4.405556E+00  -4.405556E+00  5.634690E-06  5.886328E-01  1.768700E+00  3.625154E-02  5.162667E+00  1.950823E+00  8.709427E-01  4.268259E+00  4.464012E+01  5.964789E-02  2.738454E+02  2.132959E-01  2.547836E+00  2.290562E+00  1.115106E+05  1.357589E+01  
5     6.021860E-01  -6.021860E-01  1.026783E-05  3.950064E-01  9.058320E+00  4.823561E-02  1.849104E+01  5.532793E+00  1.166312E+00  3.976396E+00  3.177550E+01  8.220482E-02  2.739173E+02  5.575366E-02  1.246104E+00  2.561204E+00  3.967681E+05  4.298904E+00  
6     6.378770E-01  -6.378770E-01  1.076589E-05  4.467018E-01  7.415516E+00  7.909761E-02  4.561759E+01  1.085205E+00  1.397390E+00  9.054987E-01  2.627107E+01  7.062335E-02  2.735715E+02  7.931826E-01  1.259033E+00  2.633427E+00  3.702539E+05  1.784268E+00  
7     -5.614600E-02  5.614600E-02  2.739470E-06  3.950064E-01  9.058320E+00  4.823561E-02  1.182932E+01  5.557981E+00  8.663603E-01  3.976396E+00  3.163407E+01  6.128324E-02  2.739435E+02  1.615188E-01  1.149104E+00  2.648905E+00  1.442333E+05  4.308873E+00  
8     8.547100E-02  -8.547100E-02  2.739470E-06  4.627081E-01  9.058320E+00  7.264825E-02  1.829425E+01  1.260421E-02  8.663603E-01  3.976396E+00  3.163407E+01  6.128324E-02  2.738811E+02  7.098753E-01  1.149104E+00  2.648905E+00  1.442333E+05  4.298904E+00  
9     -2.484810E-01  2.484810E-01  2.739470E-06  4.627081E-01  9.058320E+00  4.823561E-02  1.829425E+01  5.532793E+00  8.663603E-01  3.976396E+00  1.848508E+01  8.993511E-02  2.738811E+02  5.575366E-02  1.149104E+00  2.492027E+00  1.442333E+05  4.298904E+00  
10    -2.484810E-01  2.484810E-01  2.739470E-06  3.950064E-01  9.058320E+00  2.541176E-02  1.844456E+01  5.532793E+00  8.663603E-01  3.848101E+00  3.741167E+00  7.344052E-02  2.738811E+02  5.575366E-02  1.149104E+00  2.648905E+00  1.442333E+05  4.298904E+00  
11    -3.395640E-01  3.395640E-01  2.739470E-06  4.627081E-01  5.309722E+00  6.514634E-02  1.829425E+01  5.532793E+00  5.376348E-01  3.976396E+00  3.163407E+01  6.128324E-02  2.738811E+02  5.575366E-02  1.149104E+00  2.529356E+00  9.732065E+04  4.298904E+00  
12    6.630495E+00  -6.630495E+00  2.739470E-06  4.627081E-01  9.058320E+00  5.405389E-02  1.829425E+01  5.532793E+00  5.376348E-01  4.043430E+00  3.163407E+01  6.128324E-02  2.738811E+02  5.575366E-02  1.149104E+00  2.529356E+00  9.732065E+04  1.409553E+01  
13    -3.787750E-01  3.787750E-01  2.739470E-06  4.627081E-01  9.923913E+00  6.514634E-02  1.829425E+01  5.532793E+00  5.376348E-01  3.976396E+00  7.005827E+00  6.128324E-02  2.738811E+02  4.910627E-02  1.149104E+00  2.416147E+00  9.732065E+04  4.298904E+00  
